3,3,4,40,40,40,40,40,40,40,40,40,40,40,40
3,3,5,40,40,40,40,40,40,40,40,40,40,40,40
3,3,6,40,40,40,40,40,40,40,40,40,40,40,40
3,2,1,10,10,10,10,10,10,10,10,10,10,10,10
3,2,2,10,10,10,10,10,10,10,10,10,10,10,10
3,2,3,10,10,10,10,10,10,10,10,10,10,10,10
3,1,1,40,40,40,40,40,40,40,40,40,40,40,40
3,1,2,40,40,40,40,40,40,40,40,40,40,40,40
3,1,3,40,40,40,40,40,40,40,40,40,40,40,40
4,3,4,40,40,40,40,40,40,40,40,40,40,40,40
4,3,5,40,40,40,40,40,40,40,40,40,40,40,40
4,3,6,40,40,40,40,40,40,40,40,40,40,40,40
4,2,1,10,10,10,10,10,10,10,10,10,10,10,10
4,2,2,10,10,10,10,10,10,10,10,10,10,10,10
4,2,3,10,10,10,10,10,10,10,10,10,10,10,10
4,1,1,40,40,40,40,40,40,40,40,40,40,40,40
4,1,2,40,40,40,40,40,40,40,40,40,40,40,40
4,1,3,40,40,40,40,40,40,40,40,40,40,40,40
5,3,4,40,40,40,40,40,40,40,40,40,40,40,40
5,3,5,40,40,40,40,40,40,40,40,40,40,40,40
5,3,6,40,40,40,40,40,40,40,40,40,40,40,40
5,2,1,10,10,10,10,10,10,10,10,10,10,10,10
5,2,2,10,10,10,10,10,10,10,10,10,10,10,10
5,2,3,10,10,10,10,10,10,10,10,10,10,10,10
5,1,1,40,40,40,40,40,40,40,40,40,40,40,40
5,1,2,40,40,40,40,40,40,40,40,40,40,40,40
5,1,3,40,40,40,40,40,40,40,40,40,40,40,40
6,3,4,40,40,40,40,40,40,40,40,40,40,40,40
6,3,5,40,40,40,40,40,40,40,40,40,40,40,40
6,3,6,40,40,40,40,40,40,40,40,40,40,40,40
6,2,1,10,10,10,10,10,10,10,10,10,10,10,10
6,2,2,10,10,10,10,10,10,10,10,10,10,10,10
6,2,3,10,10,10,10,10,10,10,10,10,10,10,10
6,1,1,40,40,40,40,40,40,40,40,40,40,40,40
6,1,2,40,40,40,40,40,40,40,40,40,40,40,40
6,1,3,40,40,40,40,40,40,40,40,40,40,40,40
2,3,4,40,40,40,40,40,40,40,40,40,40,40,40
2,3,5,40,40,40,40,40,40,40,40,40,40,40,40
2,3,6,40,40,40,40,40,40,40,40,40,40,40,40
2,2,1,10,10,10,10,10,10,10,10,10,10,10,10
2,2,2,10,10,10,10,10,10,10,10,10,10,10,10
2,2,3,10,10,10,10,10,10,10,10,10,10,10,10
2,1,1,40,40,40,40,40,40,40,40,40,40,40,40
2,1,2,40,40,40,40,40,40,40,40,40,40,40,40
2,1,3,40,40,40,40,40,40,40,40,40,40,40,40
1,3,4,40,40,40,40,40,40,40,40,40,40,40,40
1,3,5,40,40,40,40,40,40,40,40,40,40,40,40
1,3,6,40,40,40,40,40,40,40,40,40,40,40,40
1,2,1,10,10,10,10,10,10,10,10,10,10,10,10
1,2,2,10,10,10,10,10,10,10,10,10,10,10,10
1,2,3,10,10,10,10,10,10,10,10,10,10,10,10
1,1,1,40,40,40,40,40,40,40,40,40,40,40,40
1,1,2,40,40,40,40,40,40,40,40,40,40,40,40
1,1,3,40,40,40,40,40,40,40,40,40,40,40,40
7,3,4,40,40,40,40,40,40,40,40,40,40,40,40
7,3,5,40,40,40,40,40,40,40,40,40,40,40,40
7,3,6,40,40,40,40,40,40,40,40,40,40,40,40
7,2,1,10,10,10,10,10,10,10,10,10,10,10,10
7,2,2,10,10,10,10,10,10,10,10,10,10,10,10
7,2,3,10,10,10,10,10,10,10,10,10,10,10,10
7,1,1,40,40,40,40,40,40,40,40,40,40,40,40
7,1,2,40,40,40,40,40,40,40,40,40,40,40,40
7,1,3,40,40,40,40,40,40,40,40,40,40,40,40
